"","Name","Adjusted","r","r.low","r.hi","k","k.low","k.hi","msy","msy.low","msy.hi","bmsy","bmsy.low","bmsy.hi","year","catch","catch_ma","b","b_lo","b_hi","bbmsy","bbmsy_lo","bbmsy_hi","s","s_lo","s_hi","f","f_lo","f_hi","fmsy","fmsy_lo","fmsy_hi","ffmsy","ffmsy_lo","ffmsy_hi","er"
"2","Anisotremus interruptus","MT",0.588604969678355,0.484445665234005,0.715159274183424,24.2437763060763,16.2566961720922,36.154990125735,3.56750180438175,2.38751170340454,5.33068345010352,12.1218881530382,8.12834808604611,18.0774950628675,2005,1.4373,1.4373,5.77374009410418,4.77790753423577,7.78309224782425,0.476306992871987,0.394155388493521,0.64206930055476,0.238153496435994,0.197077694246761,0.32103465027738,0.248937426446974,0.184669531625016,0.300822062733765,0.280356663097004,0.230744858017478,0.34063536331082,0.887931193420005,0.658694997953803,1.07299772871701,0.845855673230235
"3","Anisotremus interruptus","MT_20",0.588604969678355,0.484445665234005,0.715159274183424,28.9583919739626,19.3093426968594,43.4291564908658,4.26126335744204,2.82058567822913,6.43779961787181,14.4791959869813,9.65467134842968,21.7145782454329,2005,1.72476,1.72476,6.89714036627025,5.70434611787806,9.38808528412795,0.476348298101061,0.393968430498973,0.648384433263357,0.23817414905053,0.196984215249487,0.324192216631678,0.250068855845643,0.183717973133029,0.30235893200702,0.280380975560111,0.230764868156655,0.340664903128464,0.891889527618933,0.655244075551201,1.07838604742353,0.849700117150875
"4","Anisotremus interruptus","MT_40",0.588604969678355,0.484445665234005,0.715159274183424,33.8065391282452,22.5325917885209,50.7212884587832,4.97467423462772,3.29008900770397,7.5217976421675,16.9032695641226,11.2662958942604,25.3606442293916,2005,2.01222,2.01222,8.06466887358429,6.6554041826484,10.8849229563745,0.477107037960375,0.393734724362118,0.643953698725714,0.238553518980187,0.196867362181059,0.321976849362857,0.249510554189149,0.184863044788166,0.302343771283816,0.280827573611996,0.231132436392539,0.341207522975545,0.888483103635273,0.658279535768025,1.07661711204167,0.847803083706531
"5","Anisotremus interruptus","MT_60",0.588604969678355,0.484445665234005,0.715159274183424,38.6006386022184,25.6911359056884,57.997019126319,5.68013192850597,3.74613177996668,8.61259043202156,19.3003193011092,12.8455679528442,28.9985095631595,2005,2.29968,2.29968,9.20778520092285,7.60155456429917,12.4568922817362,0.47707942326082,0.393856414793216,0.64542415528951,0.23853971163041,0.196928207396608,0.322712077644755,0.249753871296815,0.184611052900545,0.302527592290199,0.280811319462602,0.231119058571044,0.341187774067055,0.889401010524707,0.65742026800715,1.07733403649524,0.848629842297435
"6","Balistes polylepis","MT",0.920811437856805,0.763284077863715,1.11084945785979,280.063300057858,195.973918194868,400.234137081981,64.4713725042995,46.2554600572121,89.8609130132316,140.031650028929,97.9869590974341,200.117068540991,2000,10.449,10.449,112.20268133905,55.7903707398807,169.031111607597,0.801266580204336,0.398412578358928,1.20709219360535,0.400633290102168,0.199206289179464,0.603546096802676,0.0931261167317879,0.0618170223257905,0.187290384728179,0.460405718928402,0.381642038931857,0.555424728929894,0.202269678466505,0.134266408483522,0.406794218725386,0.202269678466505
"7","Balistes polylepis","MT_20",0.920811437856805,0.763284077863715,1.11084945785979,335.626445408128,234.927295726326,479.489241592935,77.2621674447568,55.4661512443317,107.623160870959,167.813222704064,117.463647863163,239.744620796467,2000,12.5388,12.5388,133.416074373647,66.9337543527725,202.733780334469,0.795027186915562,0.398858643402666,1.20809181224049,0.397513593457781,0.199429321701333,0.604045906120243,0.0939826783156854,0.061848597600822,0.187331490983079,0.460405718928402,0.381642038931857,0.555424728929894,0.204130127954168,0.134334989897117,0.406883501401968,0.204130127954168
"8","Balistes polylepis","MT_40",0.920811437856805,0.763284077863715,1.11084945785979,392.24400060527,276.28664845615,556.868588730393,90.2956905470109,65.6253573352021,124.24026416673,196.122000302635,138.143324228075,278.434294365197,2000,14.6286,14.6286,156.287752048039,78.1245642875367,237.019516333281,0.796890465153693,0.398346764600519,1.20853099584716,0.398445232576846,0.19917338230026,0.604265497923582,0.0936004249104785,0.0617189682364815,0.187247124299594,0.460405718928402,0.381642038931857,0.555424728929894,0.203299874572223,0.134053435261692,0.406700257189274,0.203299874572223
"9","Balistes polylepis","MT_60",0.920811437856805,0.763284077863715,1.11084945785979,445.139655973284,311.696764091017,635.711807589228,102.472421665961,73.617183740832,142.637855300926,222.569827986642,155.848382045508,317.855903794614,2000,16.7184,16.7184,178.290423585956,88.7474683800204,268.527134281289,0.801053876883332,0.398739888433336,1.20648488930587,0.400526938441666,0.199369944216668,0.603242444652934,0.0937706000341621,0.0622596299057324,0.18838171167217,0.460405718928402,0.381642038931857,0.555424728929894,0.203669494489369,0.135227750972864,0.40916457795231,0.203669494489369
"10","Lutjanus argentiventris","MT",0.378136514156056,0.307547725161866,0.464926941868411,3.89288121018246,2.02162161462396,7.49622184832573,0.3680101327105,0.152750563116479,0.886618386305568,1.94644060509123,1.01081080731198,3.74811092416287,2009,0.1628,0.1628,1.40447423191864,0.772834553222881,2.33397213263994,0.721560282006556,0.397050159764139,1.19909753554003,0.360780141003278,0.19852507988207,0.599548767770015,0.115915263021665,0.0697523323964704,0.210653107215626,0.189068257078028,0.153773862580933,0.232463470934206,0.613086854520625,0.368926722414773,1.11416432600154,0.613086854520625
"11","Lutjanus argentiventris","MT_20",0.378136514156056,0.307547725161866,0.464926941868411,4.66522361226752,2.4089043258054,9.03494220144326,0.441022848625335,0.181017319787514,1.0744891883159,2.33261180613376,1.2044521629027,4.51747110072163,2009,0.19536,0.19536,1.69166510735122,0.927305072099823,2.8009040938977,0.725223589670119,0.397539388963655,1.20075877457729,0.36261179483506,0.198769694481828,0.600379387288647,0.115483850291084,0.0697489072994783,0.210675004243878,0.189068257078028,0.153773862580933,0.232463470934206,0.610805071543155,0.368908606750911,1.11428014146729,0.610805071543155
"12","Lutjanus argentiventris","MT_40",0.378136514156056,0.307547725161866,0.464926941868411,5.50398764817553,2.85374439165304,10.6154847364311,0.520314675809762,0.215295306584757,1.25746987315972,2.75199382408777,1.42687219582652,5.30774236821557,2009,0.22792,0.22792,1.98522488275404,1.09251620640519,3.30488271947856,0.721376939649241,0.396990791491816,1.20090484598891,0.360688469824621,0.198495395745908,0.600452422994457,0.114808151952948,0.068964625781323,0.208619330920451,0.189068257078028,0.153773862580933,0.232463470934206,0.607231238745525,0.364760467183349,1.103407489679,0.607231238745525
"13","Lutjanus argentiventris","MT_60",0.378136514156056,0.307547725161866,0.464926941868411,6.25647251829826,3.24953584201996,12.0458583241505,0.591450177245619,0.245564071811056,1.42452969436437,3.12823625914913,1.62476792100998,6.02292916207523,2009,0.26048,0.26048,2.26157786333632,1.24334058594122,3.75431438633266,0.722956220688861,0.397457379475362,1.20013773747186,0.36147811034443,0.198728689737681,0.600068868735928,0.115176224627409,0.0693815096967533,0.209500118427175,0.189068257078028,0.153773862580933,0.232463470934206,0.609178010139886,0.36696540587519,1.10806605860187,0.609178010139886
"14","Mycteroperca jordani","MT",0.326279794623039,0.197207264353439,0.539830541883363,67.1648623076466,20.388550768722,221.257448848479,5.4786343699059,1.42055763076373,21.1293325304776,33.5824311538233,10.194275384361,110.628724424239,2005,0.5327,0.5327,21.3885697987466,13.2975148910949,40.1804824360584,0.636897599842517,0.395966415599455,1.19647330629557,0.318448799921259,0.197983207799728,0.598236653147786,0.0249058261030252,0.0132576805380004,0.0400601168235382,0.16313989731152,0.0986036321767196,0.269915270941682,0.152665451636683,0.081265715845613,0.24555683486206,0.152665451636683
"15","Mycteroperca jordani","MT_20",0.326279794623039,0.197207264353439,0.539830541883363,82.6868260696753,24.1067353620461,283.618295998766,6.74476015701119,1.6157361319042,28.1554572416425,41.3434130348376,12.0533676810231,141.809147999383,2005,0.63924,0.63924,26.4142756960047,16.3528797071885,49.5273118862052,0.638899252796254,0.395537729151894,1.19794928020267,0.319449626398127,0.197768864575947,0.598974640101333,0.0242005500115488,0.0129068179890063,0.0390903627646083,0.16313989731152,0.0986036321767196,0.269915270941682,0.148342314849796,0.0791150307294875,0.239612525254716,0.148342314849796
"16","Mycteroperca jordani","MT_40",0.326279794623039,0.197207264353439,0.539830541883363,95.3212441322442,28.4054485280029,319.873124832425,7.7753489896703,1.94429949692781,31.0940017248854,47.6606220661221,14.2027242640014,159.936562416213,2005,0.74578,0.74578,30.4392932323789,18.8555456215983,57.0169622073926,0.638667560615321,0.395621055794006,1.19631175036469,0.31933378030766,0.197810527897003,0.598155875182346,0.0245005688636258,0.0130799672786374,0.0395522895474176,0.16313989731152,0.0986036321767196,0.269915270941682,0.150181342929507,0.0801763853857335,0.24244400173853,0.150181342929507
"17","Mycteroperca jordani","MT_60",0.326279794623039,0.197207264353439,0.539830541883363,106.767842024163,31.9440439527904,356.854382849695,8.70904739199719,2.19492350213636,34.5558769598254,53.3839210120813,15.9720219763952,178.427191424847,2005,0.85232,0.85232,34.1748500951811,21.1238537750401,63.9605472333524,0.640171224729764,0.395696932232827,1.19812381744828,0.320085612364882,0.197848466116413,0.599061908724141,0.0249399777212244,0.0133257146298391,0.0403486981626004,0.16313989731152,0.0986036321767196,0.269915270941682,0.152874791097857,0.081682744990291,0.247325754322093,0.152874791097857
"18","Mycteroperca prionura","MT",0.326279794623039,0.197207264353439,0.539830541883363,11.4014221597844,2.09353038163753,62.0924484334183,0.930013420176266,0.0900245047300677,9.60766142842301,5.7007110798922,1.04676519081876,31.0462242167092,2006,0.0737,0.0737,2.67517331028864,2.24267054380632,3.2285042383287,0.469270109078958,0.393401895373502,0.566333601735479,0.234635054539479,0.196700947686751,0.283166800867739,0.0275496169599749,0.022827908703057,0.0328626066827072,0.153113354813014,0.0925434744543013,0.253326337273759,0.17992954953942,0.14909155854455,0.214629264199977,0.168871118677782
"19","Mycteroperca prionura","MT_20",0.326279794623039,0.197207264353439,0.539830541883363,13.8206681130126,2.55274930839185,74.8255484634225,1.12735118836674,0.110394178638026,11.5125699343183,6.91033405650629,1.27637465419593,37.4127742317112,2006,0.08844,0.08844,2.82905654324195,2.717475293675,3.91416041800513,0.409395048069827,0.39324803568887,0.566421302645975,0.204697524034913,0.196624017844435,0.283210651322987,0.0312613051906882,0.0225948838461439,0.0325449140994388,0.133577332203912,0.0807356774696952,0.2210039506439,0.234031513243327,0.169152081968905,0.243640994789126,0.191622685228212
"20","Mycteroperca prionura","MT_40",0.326279794623039,0.197207264353439,0.539830541883363,15.9204279640407,2.94346564520466,86.1093884248765,1.29862849160452,0.127410457916851,13.2362443929652,7.96021398202033,1.47173282260233,43.0546942124382,2006,0.10318,0.10318,3.74288138859001,3.13147108623579,4.51035627385633,0.470198589767063,0.393390315047915,0.566612440826822,0.235099294883532,0.196695157523958,0.283306220413411,0.0275669969971635,0.0228762416392844,0.0329493701709468,0.15341629930124,0.0927265775908075,0.253827559506747,0.179687537261177,0.149112198270184,0.214770987965556,0.168977653237844
"21","Mycteroperca prionura","MT_60",0.326279794623039,0.197207264353439,0.539830541883363,17.8924373659091,3.33392003000547,96.0248932223055,1.45948519726363,0.145394328301504,14.6504823531664,8.94621868295456,1.66696001500274,48.0124466111527,2006,0.11792,0.11792,4.18920416402849,3.52022677384268,5.06589505488632,0.468265343436135,0.393487673238957,0.566261035462781,0.234132671718068,0.196743836619479,0.28313051773139,0.0281485445404036,0.0232772291416222,0.0334978419220642,0.152785520085429,0.0923453273705639,0.252783934092328,0.184235682312463,0.152352324543628,0.219247490883521,0.172542370102472
"22","Octopus sp","MT",0.565525438699537,0.407485471376748,0.784859938038403,1209.43923415258,729.29014299617,2005.70825638495,170.992163368642,120.609792155178,242.420780361433,604.719617076289,364.645071498085,1002.85412819247,2000,0.149,0.149,529.074990916309,281.708195999894,730.920700453866,0.874909587809127,0.465849276333886,1.20869354956225,0.437454793904563,0.232924638166943,0.604346774781126,0.000281623593173334,0.000203852483460214,0.000528916098699719,0.282762719349769,0.203742735688374,0.392429969019201,0.00099597144142957,0.000720931259711275,0.00187052982060717,0.00099597144142957
"23","Octopus sp","MT_20",0.565525438699537,0.407485471376748,0.784859938038403,1448.85153428989,870.434466736524,2411.63562408609,204.840599884947,143.442673962813,292.518747747989,724.425767144947,435.217233368262,1205.81781204304,2000,0.1788,0.1788,632.990569410129,297.101142195148,875.887198502326,0.873782515915778,0.410119512128981,1.20907791829977,0.436891257957889,0.20505975606449,0.604538959149885,0.000282468663264004,0.000204135875379534,0.000601815256174804,0.282762719349769,0.203742735688374,0.392429969019201,0.000998960060624539,0.000721933484898426,0.00212834017708812,0.000998960060624539
"24","Octopus sp","MT_40",0.565525438699537,0.407485471376748,0.784859938038403,1693.36065420101,1019.24075522358,2813.33952797744,239.40963171089,168.268022519184,340.629020878933,846.680327100503,509.620377611788,1406.66976398872,2000,0.2086,0.2086,740.061533338385,397.227107522541,1023.31806597009,0.874074322563701,0.469158305452618,1.20862388461828,0.437037161281851,0.234579152726309,0.604311942309141,0.000281868453639273,0.000203846689447675,0.000525140394624662,0.282762719349769,0.203742735688374,0.392429969019201,0.000996837398817808,0.000720910768988338,0.0018571769143834,0.000996837398817808
"25","Octopus sp","MT_60",0.565525438699537,0.407485471376748,0.784859938038403,1924.77157105782,1157.90561331473,3199.52296469729,272.126821779718,191.061837775111,387.586594969815,962.38578552891,578.952806657366,1599.76148234865,2000,0.2384,0.2384,843.452004161207,453.231023073832,1163.70633337964,0.876417770133274,0.470945259051955,1.20918902884677,0.438208885066637,0.235472629525977,0.604594514423386,0.000282647973831164,0.000204862681556126,0.000526001063173393,0.282762719349769,0.203742735688374,0.392429969019201,0.000999594198560305,0.000724503859728117,0.00186022069805725,0.000999594198560305
"26","Scarus perrico","MT",0.865022293110741,0.572209554884873,1.30767401765794,0.811055021372323,0.34873165243396,1.88629349559208,0.175395168606617,0.0753924030496143,0.408044629513916,0.405527510686161,0.17436582621698,0.943146747796042,2005,0.1584,0.1584,0.322795964826433,0.161708232876848,0.488730363228068,0.795990299844898,0.398760203970463,1.20517190658934,0.397995149922449,0.199380101985232,0.602585953294668,0.490712453872129,0.324105093356113,0.979541963832062,0.432511146555371,0.286104777442437,0.653837008828972,1.134566028599,0.749356625690155,2.26477854185582,1.134566028599
"27","Scarus perrico","MT_20",0.865022293110741,0.572209554884873,1.30767401765794,0.965466805210179,0.411588060397249,2.2647064909101,0.208787577441301,0.0882535091739787,0.493943559885779,0.482733402605089,0.205794030198625,1.13235324545505,2005,0.19008,0.19008,0.386291905565559,0.192505424751688,0.58217104560207,0.800217891450892,0.398782068348337,1.20598873510795,0.400108945725446,0.199391034174169,0.602994367553977,0.492063119266528,0.326501981566986,0.987400745953956,0.432511146555371,0.286104777442437,0.653837008828972,1.13768887388324,0.754898420924711,2.28294866806987,1.13768887388324
"28","Scarus perrico","MT_40",0.865022293110741,0.572209554884873,1.30767401765794,1.11971523925487,0.478736878724859,2.61889625123316,0.24214466097282,0.102938874955591,0.56960052130876,0.559857619627437,0.23936843936243,1.30944812561658,2005,0.22176,0.22176,0.448538064199395,0.223187081267397,0.675574976031679,0.801164525541117,0.39864971636167,1.206690687681,0.400582262770558,0.199324858180835,0.603345343840499,0.494406200276055,0.328253721448678,0.993605896634816,0.432511146555371,0.286104777442437,0.653837008828972,1.14310626260995,0.758948582164817,2.29729546752297,1.14310626260995
"29","Scarus perrico","MT_60",0.865022293110741,0.572209554884873,1.30767401765794,1.25941195201625,0.542307213434092,2.92476003562167,0.272354853676044,0.117406639991061,0.631797028912051,0.629705976008126,0.271153606717046,1.46238001781084,2005,0.25344,0.25344,0.50380906236514,0.25160185063748,0.759738769459985,0.800070321007464,0.399554490863262,1.20649763287332,0.400035160503732,0.199777245431631,0.603248816436658,0.503047719725846,0.333588346663081,1.00730578633608,0.432511146555371,0.286104777442437,0.653837008828972,1.16308613947235,0.771282657845616,2.32897069672891,1.16308613947235
