"","Genus","Ano","MT","MT_20","MT_40","MT_60"
"1","Anisotremus",2005,2.8746,3.44952,4.02444,4.59936
"2","Anisotremus",2006,5.6176,6.74112,7.86464,8.98816
"3","Anisotremus",2007,3.3078,3.96936,4.63092,5.29248
"4","Anisotremus",2008,6.3866,7.66392,8.94124,10.21856
"5","Anisotremus",2009,3.7114,4.45368,5.19596,5.93824
"6","Anisotremus",2010,4.0224,4.82688,5.63136,6.43584
"7","Anisotremus",2011,1.7352,2.08224,2.42928,2.77632
"8","Anisotremus",2012,4.6826,5.61912,6.55564,7.49216
"9","Anisotremus",2013,9.0234,10.82808,12.63276,14.43744
"10","Anisotremus",2014,10.6912,12.82944,14.96768,17.10592
"11","Anisotremus",2015,1.8414,2.20968,2.57796,2.94624
"12","Atrina",2000,4.27,5.124,5.978,6.832
"13","Atrina",2005,370.918,445.1016,519.2852,593.4688
"14","Atrina",2006,460.838,553.0056,645.1732,737.3408
"15","Atrina",2007,926.882,1112.2584,1297.6348,1483.0112
"16","Atrina",2008,499.08,598.896,698.712,798.528
"17","Atrina",2009,304.792,365.7504,426.7088,487.6672
"18","Atrina",2010,383.414,460.0968,536.7796,613.4624
"19","Atrina",2011,645.136,774.1632,903.1904,1032.2176
"20","Atrina",2012,564.416,677.2992,790.1824,903.0656
"21","Atrina",2013,1025.9842,1231.18104,1436.37788,1641.57472
"22","Atrina",2014,414.95,497.94,580.93,663.92
"23","Atrina",2015,381.228,457.4736,533.7192,609.9648
"24","Balistes",2000,10.449,12.5388,14.6286,16.7184
"25","Balistes",2005,106.5234,127.82808,149.13276,170.43744
"26","Balistes",2006,74.22225,89.0667,103.91115,118.7556
"27","Balistes",2007,54.28645,65.14374,76.00103,86.85832
"28","Balistes",2008,71.19355,85.43226,99.67097,113.90968
"29","Balistes",2009,77.4975,92.997,108.4965,123.996
"30","Balistes",2010,18.8176,22.58112,26.34464,30.10816
"31","Balistes",2011,22.69775,27.2373,31.77685,36.3164
"32","Balistes",2012,50.96515,61.15818,71.35121,81.54424
"33","Balistes",2013,52.43685,62.92422,73.41159,83.89896
"34","Balistes",2014,52.337,62.8044,73.2718,83.7392
"35","Balistes",2015,87.38358,104.860296,122.337012,139.813728
"36","Bodianus",2005,14.4367,17.32404,20.21138,23.09872
"37","Bodianus",2006,12.7747,15.32964,17.88458,20.43952
"38","Bodianus",2007,3.0341,3.64092,4.24774,4.85456
"39","Bodianus",2008,1.7978,2.15736,2.51692,2.87648
"40","Bodianus",2009,5.479,6.5748,7.6706,8.7664
"41","Bodianus",2010,6.883,8.2596,9.6362,11.0128
"42","Bodianus",2011,10.4405,12.5286,14.6167,16.7048
"43","Bodianus",2012,13.5374,16.24488,18.95236,21.65984
"44","Bodianus",2013,11.4447,13.73364,16.02258,18.31152
"45","Bodianus",2014,17.84075,21.4089,24.97705,28.5452
"46","Bodianus",2015,5.6061,6.72732,7.84854,8.96976
"47","Callinectes",2005,1957.488,2348.9856,2740.4832,3131.9808
"48","Callinectes",2006,1816.3144,2179.57728,2542.84016,2906.10304
"49","Callinectes",2007,2215.014,2658.0168,3101.0196,3544.0224
"50","Callinectes",2008,1647.474,1976.9688,2306.4636,2635.9584
"51","Callinectes",2009,2326.338,2791.6056,3256.8732,3722.1408
"52","Callinectes",2010,1866.6284,2239.95408,2613.27976,2986.60544
"53","Callinectes",2011,1669.554,2003.4648,2337.3756,2671.2864
"54","Callinectes",2012,1029.714,1235.6568,1441.5996,1647.5424
"55","Callinectes",2013,1436.844,1724.2128,2011.5816,2298.9504
"56","Callinectes",2014,984.56694,1181.480328,1378.393716,1575.307104
"57","Callinectes",2015,796.56,955.872,1115.184,1274.496
"58","Caranx",2005,140.5705,168.6846,196.7987,224.9128
"59","Caranx",2006,171.151,205.3812,239.6114,273.8416
"60","Caranx",2007,61.7058,74.04696,86.38812,98.72928
"61","Caranx",2008,30.1509,36.18108,42.21126,48.24144
"62","Caranx",2009,38.9819,46.77828,54.57466,62.37104
"63","Caranx",2010,123.002,147.6024,172.2028,196.8032
"64","Caranx",2011,173.7581,208.50972,243.26134,278.01296
"65","Caranx",2012,105.6681,126.80172,147.93534,169.06896
"66","Caranx",2013,111.3348,133.60176,155.86872,178.13568
"67","Caranx",2014,53.5226,64.22712,74.93164,85.63616
"68","Caranx",2015,0.8701,1.04412,1.21814,1.39216
"69","Carcharhinus",2005,5.8056,6.96672,8.12784,9.28896
"70","Carcharhinus",2006,3.3939,4.07268,4.75146,5.43024
"71","Carcharhinus",2007,2.6877,3.22524,3.76278,4.30032
"72","Carcharhinus",2008,1.0161,1.21932,1.42254,1.62576
"73","Carcharhinus",2010,0.021,0.0252,0.0294,0.0336
"74","Carcharhinus",2011,0.216,0.2592,0.3024,0.3456
"75","Carcharhinus",2012,5.3031,6.36372,7.42434,8.48496
"76","Carcharhinus",2013,2.7903,3.34836,3.90642,4.46448
"77","Carcharhinus",2014,4.5654,5.47848,6.39156,7.30464
"78","Carcharhinus",2015,16.8834,20.26008,23.63676,27.01344
"79","Caulolatilus",2005,25.4286,30.51432,35.60004,40.68576
"80","Caulolatilus",2006,19.1944,23.03328,26.87216,30.71104
"81","Caulolatilus",2007,35.7976,42.95712,50.11664,57.27616
"82","Caulolatilus",2008,41.858,50.2296,58.6012,66.9728
"83","Caulolatilus",2009,67.2054,80.64648,94.08756,107.52864
"84","Caulolatilus",2010,119.236,143.0832,166.9304,190.7776
"85","Caulolatilus",2011,31.9326,38.31912,44.70564,51.09216
"86","Caulolatilus",2012,60.82,72.984,85.148,97.312
"87","Caulolatilus",2013,80.126,96.1512,112.1764,128.2016
"88","Caulolatilus",2014,41.4694,49.76328,58.05716,66.35104
"89","Caulolatilus",2015,37.3652,44.83824,52.31128,59.78432
"90","Cephalopholis",2000,0.18,0.216,0.252,0.288
"91","Cephalopholis",2005,135.77955,162.93546,190.09137,217.24728
"92","Cephalopholis",2006,143.7883,172.54596,201.30362,230.06128
"93","Cephalopholis",2007,125.0893,150.10716,175.12502,200.14288
"94","Cephalopholis",2008,181.3379,217.60548,253.87306,290.14064
"95","Cephalopholis",2009,248.77075,298.5249,348.27905,398.0332
"96","Cephalopholis",2010,114.0863,136.90356,159.72082,182.53808
"97","Cephalopholis",2011,90.133,108.1596,126.1862,144.2128
"98","Cephalopholis",2012,123.3674,148.04088,172.71436,197.38784
"99","Cephalopholis",2013,128.1278,153.75336,179.37892,205.00448
"100","Cephalopholis",2014,141.01405,169.21686,197.41967,225.62248
"101","Cephalopholis",2015,229.74737,275.696844,321.646318,367.595792
"102","Dasyatis",2000,10.87,13.044,15.218,17.392
"103","Dasyatis",2005,238.20045,285.84054,333.48063,381.12072
"104","Dasyatis",2006,192.6554,231.18648,269.71756,308.24864
"105","Dasyatis",2007,176.8822,212.25864,247.63508,283.01152
"106","Dasyatis",2008,192.85075,231.4209,269.99105,308.5612
"107","Dasyatis",2009,111.4653,133.75836,156.05142,178.34448
"108","Dasyatis",2010,95.692,114.8304,133.9688,153.1072
"109","Dasyatis",2011,108.4644,130.15728,151.85016,173.54304
"110","Dasyatis",2012,169.891,203.8692,237.8474,271.8256
"111","Dasyatis",2013,98.76085,118.51302,138.26519,158.01736
"112","Dasyatis",2014,96.53895,115.84674,135.15453,154.46232
"113","Dasyatis",2015,99.2017,119.04204,138.88238,158.72272
"114","Epinephelus",2005,65.2775,78.333,91.3885,104.444
"115","Epinephelus",2006,35.4773,42.57276,49.66822,56.76368
"116","Epinephelus",2007,52.2624,62.71488,73.16736,83.61984
"117","Epinephelus",2008,70.1536,84.18432,98.21504,112.24576
"118","Epinephelus",2009,105.5084,126.61008,147.71176,168.81344
"119","Epinephelus",2010,116.7678,140.12136,163.47492,186.82848
"120","Epinephelus",2011,71.8734,86.24808,100.62276,114.99744
"121","Epinephelus",2012,61.709,74.0508,86.3926,98.7344
"122","Epinephelus",2013,150.3946,180.47352,210.55244,240.63136
"123","Epinephelus",2014,149.4021,179.28252,209.16294,239.04336
"124","Epinephelus",2015,423.57876,508.294512,593.010264,677.726016
"125","Haemulon",2005,17.6855,21.2226,24.7597,28.2968
"126","Haemulon",2006,4.9,5.88,6.86,7.84
"127","Haemulon",2007,4.085,4.902,5.719,6.536
"128","Haemulon",2009,0.275,0.33,0.385,0.44
"129","Haemulon",2010,0.665,0.798,0.931,1.064
"130","Haemulon",2011,0.187,0.2244,0.2618,0.2992
"131","Haemulon",2012,1.6515,1.9818,2.3121,2.6424
"132","Haemulon",2013,12.7415,15.2898,17.8381,20.3864
"133","Haemulon",2014,0.555,0.666,0.777,0.888
"134","Lutjanus",2005,70.2448,84.29376,98.34272,112.39168
"135","Lutjanus",2006,33.8796,40.65552,47.43144,54.20736
"136","Lutjanus",2007,102.1808,122.61696,143.05312,163.48928
"137","Lutjanus",2008,24.424,29.3088,34.1936,39.0784
"138","Lutjanus",2009,37.5152,45.01824,52.52128,60.02432
"139","Lutjanus",2010,69.712,83.6544,97.5968,111.5392
"140","Lutjanus",2011,38.3592,46.03104,53.70288,61.37472
"141","Lutjanus",2012,40.0164,48.01968,56.02296,64.02624
"142","Lutjanus",2013,29.5356,35.44272,41.34984,47.25696
"143","Lutjanus",2014,5.692,6.8304,7.9688,9.1072
"144","Lutjanus",2015,40.62644,48.751728,56.877016,65.002304
"145","Megapitaria",2005,204.639,245.5668,286.4946,327.4224
"146","Megapitaria",2006,7.325,8.79,10.255,11.72
"147","Megapitaria",2007,2.75,3.3,3.85,4.4
"148","Megapitaria",2008,10.5,12.6,14.7,16.8
"149","Megapitaria",2009,2.816,3.3792,3.9424,4.5056
"150","Megapitaria",2010,4.9,5.88,6.86,7.84
"151","Megapitaria",2011,2.85,3.42,3.99,4.56
"152","Megapitaria",2013,5.35,6.42,7.49,8.56
"153","Megapitaria",2015,2.767,3.3204,3.8738,4.4272
"154","Merluccius",2005,2.6169,3.14028,3.66366,4.18704
"155","Merluccius",2006,5.249,6.2988,7.3486,8.3984
"156","Merluccius",2007,1.311,1.5732,1.8354,2.0976
"157","Merluccius",2008,10.674,12.8088,14.9436,17.0784
"158","Merluccius",2009,4.152,4.9824,5.8128,6.6432
"159","Merluccius",2010,2.189,2.6268,3.0646,3.5024
"160","Merluccius",2011,0.975,1.17,1.365,1.56
"161","Merluccius",2012,3.5197,4.22364,4.92758,5.63152
"162","Merluccius",2013,2.9852,3.58224,4.17928,4.77632
"163","Merluccius",2014,5.4683,6.56196,7.65562,8.74928
"164","Merluccius",2015,1.4898,1.78776,2.08572,2.38368
"165","Microlepidotus",2005,0.6622,0.79464,0.92708,1.05952
"166","Microlepidotus",2012,4.2,5.04,5.88,6.72
"167","Microlepidotus",2013,1.2,1.44,1.68,1.92
"168","Microlepidotus",2014,3.495,4.194,4.893,5.592
"169","Microlepidotus",2015,34.477,41.3724,48.2678,55.1632
"170","Micropogonias",2005,118.2628,141.91536,165.56792,189.22048
"171","Micropogonias",2006,116.7324,140.07888,163.42536,186.77184
"172","Micropogonias",2007,122.6537,147.18444,171.71518,196.24592
"173","Micropogonias",2008,106.8538,128.22456,149.59532,170.96608
"174","Micropogonias",2009,166.3399,199.60788,232.87586,266.14384
"175","Micropogonias",2010,149.843,179.8116,209.7802,239.7488
"176","Micropogonias",2011,76.312,91.5744,106.8368,122.0992
"177","Micropogonias",2012,42.8356,51.40272,59.96984,68.53696
"178","Micropogonias",2013,80.0042,96.00504,112.00588,128.00672
"179","Micropogonias",2014,115.3822,138.45864,161.53508,184.61152
"180","Micropogonias",2015,137.7817,165.33804,192.89438,220.45072
"181","Mugil",2005,454.602,545.5224,636.4428,727.3632
"182","Mugil",2006,262.208,314.6496,367.0912,419.5328
"183","Mugil",2007,328.398,394.0776,459.7572,525.4368
"184","Mugil",2008,387.132,464.5584,541.9848,619.4112
"185","Mugil",2009,344.58,413.496,482.412,551.328
"186","Mugil",2010,263.656,316.3872,369.1184,421.8496
"187","Mugil",2011,177.872,213.4464,249.0208,284.5952
"188","Mugil",2012,145.639,174.7668,203.8946,233.0224
"189","Mugil",2013,246.72,296.064,345.408,394.752
"190","Mugil",2014,186.823,224.1876,261.5522,298.9168
"191","Mugil",2015,227.074,272.4888,317.9036,363.3184
"192","Mycteroperca",2005,2.2508,2.70096,3.15112,3.60128
"193","Mycteroperca",2006,4.1548,4.98576,5.81672,6.64768
"194","Mycteroperca",2007,27.9192,33.50304,39.08688,44.67072
"195","Mycteroperca",2008,28.0604,33.67248,39.28456,44.89664
"196","Mycteroperca",2009,19.474,23.3688,27.2636,31.1584
"197","Mycteroperca",2010,1.2472,1.49664,1.74608,1.99552
"198","Mycteroperca",2011,3.492,4.1904,4.8888,5.5872
"199","Mycteroperca",2012,3.7044,4.44528,5.18616,5.92704
"200","Mycteroperca",2013,7.688,9.2256,10.7632,12.3008
"201","Mycteroperca",2014,3.672,4.4064,5.1408,5.8752
"202","Mycteroperca",2015,84.76192,101.714304,118.666688,135.619072
"203","Nematistius",2006,0.051,0.0612,0.0714,0.0816
"204","Nematistius",2007,0.3,0.36,0.42,0.48
"205","Nematistius",2008,0.214,0.2568,0.2996,0.3424
"206","Nematistius",2011,0.05,0.06,0.07,0.08
"207","Nematistius",2014,0.075,0.09,0.105,0.12
"208","Nematistius",2015,0.145,0.174,0.203,0.232
"209","Octopus",2000,0.596,0.7152,0.8344,0.9536
"210","Octopus",2005,570.9416,685.12992,799.31824,913.50656
"211","Octopus",2006,634.844,761.8128,888.7816,1015.7504
"212","Octopus",2007,487.0352,584.44224,681.84928,779.25632
"213","Octopus",2008,991.4584,1189.75008,1388.04176,1586.33344
"214","Octopus",2009,991.3628,1189.63536,1387.90792,1586.18048
"215","Octopus",2010,496.4616,595.75392,695.04624,794.33856
"216","Octopus",2011,898.4604,1078.15248,1257.84456,1437.53664
"217","Octopus",2012,930.9492,1117.13904,1303.32888,1489.51872
"218","Octopus",2013,621.7392,746.08704,870.43488,994.78272
"219","Octopus",2014,620.32604,744.391248,868.456456,992.521664
"220","Octopus",2015,485.18524,582.222288,679.259336,776.296384
"221","Panulirus",2000,5.6,6.72,7.84,8.96
"222","Panulirus",2005,37.85,45.42,52.99,60.56
"223","Panulirus",2006,24.574,29.4888,34.4036,39.3184
"224","Panulirus",2007,12.724,15.2688,17.8136,20.3584
"225","Panulirus",2008,12.616,15.1392,17.6624,20.1856
"226","Panulirus",2009,35.784,42.9408,50.0976,57.2544
"227","Panulirus",2010,17.99438,21.593256,25.192132,28.791008
"228","Panulirus",2011,3.94916,4.738992,5.528824,6.318656
"229","Panulirus",2012,13.248,15.8976,18.5472,21.1968
"230","Panulirus",2013,15.4526,18.54312,21.63364,24.72416
"231","Panulirus",2014,19.956,23.9472,27.9384,31.9296
"232","Panulirus",2015,14.42,17.304,20.188,23.072
"233","Paralabrax",2005,86.2248,103.46976,120.71472,137.95968
"234","Paralabrax",2006,2.046,2.4552,2.8644,3.2736
"235","Paralabrax",2007,11.1366,13.36392,15.59124,17.81856
"236","Paralabrax",2008,14.7024,17.64288,20.58336,23.52384
"237","Paralabrax",2009,3.6315,4.3578,5.0841,5.8104
"238","Paralabrax",2010,7.278,8.7336,10.1892,11.6448
"239","Paralabrax",2012,0.8535,1.0242,1.1949,1.3656
"240","Paralabrax",2013,3.036,3.6432,4.2504,4.8576
"241","Paralabrax",2015,0.375,0.45,0.525,0.6
"242","Rhinobatos",2000,14.685,17.622,20.559,23.496
"243","Rhinobatos",2005,123.97475,148.7697,173.56465,198.3596
"244","Rhinobatos",2006,94.30455,113.16546,132.02637,150.88728
"245","Rhinobatos",2007,53.1095,63.7314,74.3533,84.9752
"246","Rhinobatos",2008,85.31865,102.38238,119.44611,136.50984
"247","Rhinobatos",2009,33.48815,40.18578,46.88341,53.58104
"248","Rhinobatos",2010,23.39485,28.07382,32.75279,37.43176
"249","Rhinobatos",2011,30.48905,36.58686,42.68467,48.78248
"250","Rhinobatos",2012,36.3877,43.66524,50.94278,58.22032
"251","Rhinobatos",2013,12.23675,14.6841,17.13145,19.5788
"252","Rhinobatos",2014,7.2505,8.7006,10.1507,11.6008
"253","Rhinobatos",2015,11.7454,14.09448,16.44356,18.79264
"254","Scarus",2005,0.4752,0.57024,0.66528,0.76032
"255","Scarus",2006,0.2739,0.32868,0.38346,0.43824
"256","Scarus",2007,0.33,0.396,0.462,0.528
"257","Scarus",2012,0.2409,0.28908,0.33726,0.38544
"258","Scarus",2013,0.054,0.0648,0.0756,0.0864
"259","Scarus",2015,0.4185,0.5022,0.5859,0.6696
"260","Scomberomorus",2005,4675.976,5611.1712,6546.3664,7481.5616
"261","Scomberomorus",2006,4018.276,4821.9312,5625.5864,6429.2416
"262","Scomberomorus",2007,3177.072,3812.4864,4447.9008,5083.3152
"263","Scomberomorus",2008,2450.582,2940.6984,3430.8148,3920.9312
"264","Scomberomorus",2009,2326.875,2792.25,3257.625,3723
"265","Scomberomorus",2010,2074.513,2489.4156,2904.3182,3319.2208
"266","Scomberomorus",2011,1333.292,1599.9504,1866.6088,2133.2672
"267","Scomberomorus",2012,1378.372,1654.0464,1929.7208,2205.3952
"268","Scomberomorus",2013,1966.204,2359.4448,2752.6856,3145.9264
"269","Scomberomorus",2014,1442.296,1730.7552,2019.2144,2307.6736
"270","Scomberomorus",2015,2331.932,2798.3184,3264.7048,3731.0912
"271","Scorpaena",2005,3.229,3.8748,4.5206,5.1664
"272","Scorpaena",2006,4.8945,5.8734,6.8523,7.8312
"273","Scorpaena",2007,5.8028,6.96336,8.12392,9.28448
"274","Scorpaena",2008,3.5526,4.26312,4.97364,5.68416
"275","Scorpaena",2009,2.3458,2.81496,3.28412,3.75328
"276","Scorpaena",2010,2.2481,2.69772,3.14734,3.59696
"277","Scorpaena",2011,3.6019,4.32228,5.04266,5.76304
"278","Scorpaena",2012,2.161,2.5932,3.0254,3.4576
"279","Scorpaena",2013,1.2622,1.51464,1.76708,2.01952
"280","Scorpaena",2014,0.9025,1.083,1.2635,1.444
"281","Scorpaena",2015,0.616,0.7392,0.8624,0.9856
"282","Sphoeroides",2005,81.6426,97.97112,114.29964,130.62816
"283","Sphoeroides",2006,23.2037,27.84444,32.48518,37.12592
"284","Sphoeroides",2007,10.967,13.1604,15.3538,17.5472
"285","Sphoeroides",2008,21.5997,25.91964,30.23958,34.55952
"286","Sphoeroides",2009,40.1681,48.20172,56.23534,64.26896
"287","Sphoeroides",2010,13.6776,16.41312,19.14864,21.88416
"288","Sphoeroides",2011,7.66,9.192,10.724,12.256
"289","Sphoeroides",2012,12.9766,15.57192,18.16724,20.76256
"290","Sphoeroides",2013,59.848,71.8176,83.7872,95.7568
"291","Sphoeroides",2014,18.966,22.7592,26.5524,30.3456
"292","Sphoeroides",2015,2.55,3.06,3.57,4.08
"293","Sphyraena",2005,11.878,14.2536,16.6292,19.0048
"294","Sphyraena",2006,4.234,5.0808,5.9276,6.7744
"295","Sphyraena",2007,7.122,8.5464,9.9708,11.3952
"296","Sphyraena",2008,28.076,33.6912,39.3064,44.9216
"297","Sphyraena",2009,8.342,10.0104,11.6788,13.3472
"298","Sphyraena",2010,5.998,7.1976,8.3972,9.5968
"299","Sphyraena",2011,8.8,10.56,12.32,14.08
"300","Sphyraena",2012,59.018,70.8216,82.6252,94.4288
"301","Sphyraena",2013,17.976,21.5712,25.1664,28.7616
"302","Sphyraena",2014,4.9285,5.9142,6.8999,7.8856
"303","Sphyraena",2015,0.288,0.3456,0.4032,0.4608
"304","Sphyrna",2010,8.79905,10.55886,12.31867,14.07848
"305","Sphyrna",2011,0.5,0.6,0.7,0.8
"306","Sphyrna",2012,9.16125,10.9935,12.82575,14.658
"307","Sphyrna",2014,5.33625,6.4035,7.47075,8.538
"308","Sphyrna",2015,2.31875,2.7825,3.24625,3.71
"309","Squatina",2005,101.46805,121.76166,142.05527,162.34888
"310","Squatina",2006,83.2359,99.88308,116.53026,133.17744
"311","Squatina",2007,179.2168,215.06016,250.90352,286.74688
"312","Squatina",2008,202.9194,243.50328,284.08716,324.67104
"313","Squatina",2009,78.8379,94.60548,110.37306,126.14064
"314","Squatina",2010,39.98085,47.97702,55.97319,63.96936
"315","Squatina",2011,47.16045,56.59254,66.02463,75.45672
"316","Squatina",2012,51.65925,61.9911,72.32295,82.6548
"317","Squatina",2013,36.12445,43.34934,50.57423,57.79912
"318","Squatina",2014,25.00897,30.010764,35.012558,40.014352
"319","Squatina",2015,14.0771,16.89252,19.70794,22.52336
"320","Strombus",2005,24.995,29.994,34.993,39.992
"321","Strombus",2006,13.064,15.6768,18.2896,20.9024
"322","Strombus",2007,3.825,4.59,5.355,6.12
"323","Strombus",2009,19.86,23.832,27.804,31.776
"324","Strombus",2010,0.58,0.696,0.812,0.928
"325","Strombus",2011,0.783,0.9396,1.0962,1.2528
"326","Strombus",2012,8.337,10.0044,11.6718,13.3392
"327","Strombus",2013,4.189,5.0268,5.8646,6.7024
"328","Strombus",2014,1.12,1.344,1.568,1.792
"329","Strombus",2015,0.451,0.5412,0.6314,0.7216
"330","Trachinotus",2005,0.132,0.1584,0.1848,0.2112
"331","Trachinotus",2006,1.668,2.0016,2.3352,2.6688
"332","Trachinotus",2007,15.014,18.0168,21.0196,24.0224
"333","Trachinotus",2008,19.3736,23.24832,27.12304,30.99776
"334","Trachinotus",2009,0.52,0.624,0.728,0.832
"335","Trachinotus",2010,4.52,5.424,6.328,7.232
"336","Trachinotus",2011,0.058,0.0696,0.0812,0.0928
"337","Trachinotus",2012,5,6,7,8
"338","Trachinotus",2013,46.48,55.776,65.072,74.368
"339","Trachinotus",2014,2.6,3.12,3.64,4.16
"340","Trachinotus",2015,0.416,0.4992,0.5824,0.6656
